Date,Time,Temperature (°C),Humidity (%),Wind Speed (m/s),Pressure (hPa)
2024-12-05,15:00:00,27.66,80,2.35,1008
2024-12-05,18:00:00,26.18,87,1.59,1008
2024-12-05,21:00:00,24.54,92,1.46,1007
2024-12-06,00:00:00,24.93,91,1.67,1009
2024-12-06,03:00:00,29.98,68,1.35,1010
2024-12-06,06:00:00,32.9,54,1.71,1006
2024-12-06,09:00:00,30.42,67,1.85,1006
2024-12-06,12:00:00,25.64,87,2.53,1008
2024-12-06,15:00:00,25.29,85,1.36,1009
2024-12-06,18:00:00,25.01,87,0.61,1008
2024-12-06,21:00:00,24.53,90,1.6,1008
2024-12-07,00:00:00,24.86,89,1.7,1010
2024-12-07,03:00:00,29.14,73,1.55,1011
2024-12-07,06:00:00,29.69,70,1.16,1008
2024-12-07,09:00:00,29.31,72,1.1,1006
2024-12-07,12:00:00,26.6,82,2.25,1008
2024-12-07,15:00:00,25.22,88,0.79,1010
2024-12-07,18:00:00,24.77,88,0.66,1009
2024-12-07,21:00:00,23.76,89,1.89,1009
2024-12-08,00:00:00,24.38,87,1.89,1010
2024-12-08,03:00:00,29.63,63,1.69,1011
2024-12-08,06:00:00,32.31,51,2.67,1008
2024-12-08,09:00:00,29.73,66,0.58,1007
2024-12-08,12:00:00,26.12,84,1.42,1009
2024-12-08,15:00:00,26.02,82,1.0,1010
2024-12-08,18:00:00,24.7,78,1.67,1009
2024-12-08,21:00:00,23.95,79,2.23,1008
2024-12-09,00:00:00,24.2,81,2.33,1010
2024-12-09,03:00:00,26.57,70,2.02,1011
2024-12-09,06:00:00,29.94,58,2.04,1008
2024-12-09,09:00:00,30.52,58,1.55,1006
2024-12-09,12:00:00,27.34,70,0.29,1008
2024-12-09,15:00:00,25.29,82,0.58,1009
2024-12-09,18:00:00,24.41,87,1.23,1008
2024-12-09,21:00:00,24.0,87,2.03,1007
2024-12-10,00:00:00,24.12,77,1.93,1009
2024-12-10,03:00:00,28.98,59,1.64,1009
2024-12-10,06:00:00,31.6,52,1.72,1006
2024-12-10,09:00:00,31.36,53,1.16,1004
2024-12-10,12:00:00,26.24,77,2.85,1006
