Date,Time,Temperature (°C),Humidity (%),Wind Speed (km/h),Pressure (hPa)
2024-12-06,00:00:00,25.1,90,4.7,1009.0
2024-12-06,01:00:00,25.0,90,5.0,1008.0
2024-12-06,02:00:00,24.9,90,4.0,1007.0
2024-12-06,03:00:00,24.8,90,2.2,1007.0
2024-12-06,04:00:00,24.6,89,3.2,1007.0
2024-12-06,05:00:00,24.4,90,5.0,1008.0
2024-12-06,06:00:00,24.3,91,4.3,1008.0
2024-12-06,07:00:00,25.2,88,4.7,1009.0
2024-12-06,08:00:00,26.4,82,5.0,1010.0
2024-12-06,09:00:00,28.2,74,4.7,1010.0
2024-12-06,10:00:00,30.4,66,4.0,1010.0
2024-12-06,11:00:00,31.9,59,4.0,1009.0
2024-12-06,12:00:00,32.0,58,6.1,1008.0
2024-12-06,13:00:00,31.6,60,7.2,1007.0
2024-12-06,14:00:00,33.1,56,6.8,1006.0
2024-12-06,15:00:00,30.3,69,6.8,1006.0
2024-12-06,16:00:00,29.5,73,8.6,1005.0
2024-12-06,17:00:00,27.6,81,12.2,1006.0
2024-12-06,18:00:00,25.6,87,11.5,1007.0
2024-12-06,19:00:00,25.4,86,9.0,1008.0
2024-12-06,20:00:00,25.3,87,7.2,1009.0
2024-12-06,21:00:00,25.3,87,4.3,1009.0
2024-12-06,22:00:00,25.3,87,1.1,1009.0
2024-12-06,23:00:00,25.3,87,0.7,1009.0
2024-12-07,00:00:00,25.2,87,2.9,1009.0
2024-12-07,01:00:00,25.0,88,5.0,1008.0
2024-12-07,02:00:00,24.8,88,5.8,1008.0
2024-12-07,03:00:00,24.6,89,6.1,1008.0
2024-12-07,04:00:00,24.4,90,6.5,1008.0
2024-12-07,05:00:00,24.2,92,6.8,1009.0
2024-12-07,06:00:00,24.1,92,5.8,1009.0
2024-12-07,07:00:00,25.1,88,5.8,1010.0
2024-12-07,08:00:00,26.9,79,6.8,1011.0
2024-12-07,09:00:00,28.6,72,6.1,1011.0
2024-12-07,10:00:00,30.0,67,6.1,1011.0
2024-12-07,11:00:00,30.9,63,6.1,1010.0
2024-12-07,12:00:00,31.8,59,7.6,1009.0
2024-12-07,13:00:00,32.2,56,9.4,1007.0
2024-12-07,14:00:00,32.1,56,10.8,1007.0
2024-12-07,15:00:00,31.6,58,12.2,1006.0
2024-12-07,16:00:00,30.8,63,10.8,1007.0
2024-12-07,17:00:00,28.9,71,8.3,1007.0
2024-12-07,18:00:00,27.4,76,7.2,1008.0
2024-12-07,19:00:00,26.5,82,7.6,1009.0
2024-12-07,20:00:00,26.0,85,5.8,1009.0
2024-12-07,21:00:00,25.8,86,4.7,1010.0
2024-12-07,22:00:00,25.6,86,2.9,1010.0
2024-12-07,23:00:00,25.5,87,1.1,1010.0
2024-12-08,00:00:00,25.4,86,2.2,1010.0
2024-12-08,01:00:00,25.2,87,4.0,1009.0
2024-12-08,02:00:00,25.0,87,5.4,1009.0
2024-12-08,03:00:00,24.6,86,6.1,1009.0
2024-12-08,04:00:00,24.2,86,6.1,1009.0
2024-12-08,05:00:00,23.8,86,7.2,1009.0
2024-12-08,06:00:00,23.6,86,6.5,1010.0
2024-12-08,07:00:00,24.6,83,6.8,1011.0
2024-12-08,08:00:00,26.5,75,8.3,1011.0
2024-12-08,09:00:00,28.1,68,7.9,1011.0
2024-12-08,10:00:00,29.7,62,7.6,1011.0
2024-12-08,11:00:00,30.7,58,8.6,1010.0
2024-12-08,12:00:00,30.5,58,8.6,1009.0
2024-12-08,13:00:00,29.4,64,8.3,1008.0
2024-12-08,14:00:00,29.0,65,5.4,1008.0
2024-12-08,15:00:00,29.3,64,3.2,1007.0
2024-12-08,16:00:00,28.5,68,3.2,1007.0
2024-12-08,17:00:00,27.8,70,5.4,1008.0
2024-12-08,18:00:00,27.2,71,8.6,1008.0
2024-12-08,19:00:00,26.7,73,7.2,1009.0
2024-12-08,20:00:00,26.3,74,6.1,1010.0
2024-12-08,21:00:00,26.0,74,6.8,1010.0
2024-12-08,22:00:00,25.6,74,6.1,1010.0
2024-12-08,23:00:00,25.1,75,6.1,1010.0
2024-12-09,00:00:00,24.7,76,6.5,1009.0
2024-12-09,01:00:00,24.3,77,7.2,1009.0
2024-12-09,02:00:00,24.1,78,8.3,1009.0
2024-12-09,03:00:00,23.9,78,7.6,1008.0
2024-12-09,04:00:00,23.9,78,8.3,1008.0
2024-12-09,05:00:00,23.9,77,7.6,1009.0
2024-12-09,06:00:00,24.0,77,7.6,1009.0
2024-12-09,07:00:00,24.3,78,7.6,1010.0
2024-12-09,08:00:00,24.7,77,7.6,1011.0
2024-12-09,09:00:00,24.8,78,6.8,1011.0
2024-12-09,10:00:00,25.5,75,6.8,1011.0
2024-12-09,11:00:00,26.9,69,7.9,1010.0
2024-12-09,12:00:00,27.1,68,7.9,1009.0
2024-12-09,13:00:00,27.7,66,6.1,1008.0
2024-12-09,14:00:00,28.7,62,5.0,1007.0
2024-12-09,15:00:00,29.3,60,3.6,1007.0
2024-12-09,16:00:00,29.3,61,2.5,1007.0
2024-12-09,17:00:00,28.3,67,3.2,1007.0
2024-12-09,18:00:00,26.9,70,0.7,1007.0
2024-12-09,19:00:00,26.3,73,1.4,1008.0
2024-12-09,20:00:00,25.7,77,2.9,1009.0
2024-12-09,21:00:00,25.2,81,3.2,1009.0
2024-12-09,22:00:00,25.0,83,3.2,1009.0
2024-12-09,23:00:00,24.7,84,2.9,1009.0
2024-12-10,00:00:00,24.5,85,2.5,1009.0
2024-12-10,01:00:00,24.4,84,4.0,1008.0
2024-12-10,02:00:00,24.3,83,4.3,1008.0
2024-12-10,03:00:00,23.9,84,5.4,1007.0
2024-12-10,04:00:00,23.7,83,6.5,1007.0
2024-12-10,05:00:00,23.4,83,6.8,1008.0
